Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.14096,0.146121,0.137222,0.140901,"128,906","23,248,000"
"Sep 21, 2017",0.153897,0.154929,0.139653,0.141122,"384,713","25,381,500"
"Sep 20, 2017",0.15987,0.16215,0.142694,0.154656,"422,129","26,366,700"
"Sep 19, 2017",0.167816,0.168708,0.157326,0.159378,"103,086","27,677,200"
"Sep 18, 2017",0.152313,0.168803,0.152313,0.167329,"146,894","25,120,400"
"Sep 17, 2017",0.156856,0.156856,0.142774,0.152617,"324,773","25,869,500"
"Sep 16, 2017",0.157983,0.164162,0.150462,0.156611,"153,719","26,055,400"
"Sep 15, 2017",0.139213,0.162157,0.131996,0.156529,"603,460","22,959,700"
"Sep 14, 2017",0.161374,0.162813,0.136027,0.139432,"247,990","26,614,600"
"Sep 13, 2017",0.174484,0.174484,0.152594,0.161365,"391,883","28,776,900"
"Sep 12, 2017",0.17714,0.184198,0.17124,0.173762,"160,752","29,214,900"
"Sep 11, 2017",0.17928,0.184886,0.17405,0.177197,"335,372","29,567,900"
"Sep 10, 2017",0.178474,0.182438,0.167174,0.178885,"223,600","29,435,000"
"Sep 09, 2017",0.178002,0.183491,0.172829,0.178285,"262,703","29,357,200"
"Sep 08, 2017",0.187632,0.195732,0.17159,0.177684,"371,309","30,945,300"
"Sep 07, 2017",0.201538,0.201538,0.158977,0.187682,"1,980,840","33,238,800"
"Sep 06, 2017",0.138851,0.216374,0.083726,0.207973,"1,182,770","22,900,100"
"Sep 05, 2017",0.13687,0.142928,0.129415,0.139907,"199,903","22,573,300"
"Sep 04, 2017",0.14605,0.151994,0.13239,0.137359,"415,019","24,087,400"
"Sep 03, 2017",0.148704,0.152173,0.141243,0.147456,"328,470","24,525,100"
"Sep 02, 2017",0.160765,0.16106,0.144178,0.148354,"197,275","26,514,300"
"Sep 01, 2017",0.151594,0.16256,0.149447,0.160564,"375,517","25,001,700"
"Aug 31, 2017",0.155931,0.162623,0.143665,0.151654,"751,798","25,717,000"
"Aug 30, 2017",0.179729,0.18276,0.156249,0.156249,"646,237","29,642,000"
"Aug 29, 2017",0.182397,0.188974,0.162047,0.181675,"805,769","30,082,000"
"Aug 28, 2017",0.187782,0.187782,0.175398,0.183041,"387,796","30,970,100"
"Aug 27, 2017",0.188273,0.191935,0.185141,0.187594,"486,877","31,051,000"
"Aug 26, 2017",0.198971,0.202182,0.182409,0.189713,"622,919","32,815,400"
"Aug 25, 2017",0.177262,0.204174,0.175276,0.198589,"1,222,560","29,235,100"
"Aug 24, 2017",0.169861,0.178838,0.168085,0.176501,"429,827","28,014,500"
"Aug 23, 2017",0.172963,0.17551,0.166706,0.169788,"527,883","28,526,100"
"Aug 22, 2017",0.168839,0.173513,0.153242,0.173317,"1,522,260","27,845,900"
"Aug 21, 2017",0.169572,0.18092,0.167519,0.168329,"271,922","27,966,800"
"Aug 20, 2017",0.192412,0.20437,0.166218,0.170592,"972,295","31,733,600"
"Aug 19, 2017",0.215287,0.223694,0.183855,0.191553,"890,245",-
"Aug 18, 2017",0.207785,0.274241,0.167537,0.212593,"1,659,150",-
"Aug 17, 2017",0.183454,0.212192,0.179724,0.208422,"642,901",-
"Aug 16, 2017",0.146875,0.183623,0.144378,0.183623,"831,929",-
"Aug 15, 2017",0.138549,0.14789,0.136896,0.146673,"205,243",-
