#,Name,Market Cap,Price,Circulating Supply,Volume (24h),% Change (24h)
71,OKCash,"$18,962,711",$0.26,"72,634,863 OK *","$2,215,460",-14.11%
72,Unobtanium,"$18,496,843",$93.50,"197,817 UNO","$29,635",-1.27%
73,Diamond,"$17,492,702",$7.18,"2,434,895 DMD","$57,368",1.60%
74,Skycoin,"$17,427,322",$2.97,"5,874,530 SKY *","$7,940",-2.60%
75,MonetaryUnit,"$17,369,018",$0.13,"129,486,188 MUE","$161,942",2.48%
76,SpreadCoin,"$17,360,473",$1.97,"8,795,591 SPR","$197,955",-3.52%
77,Mooncoin,"$17,069,057",$0.00,"222,291,552,483 MOON","$4,460",64.74%
78,Expanse,"$16,496,380",$2.09,"7,906,397 EXP","$243,444",-4.65%
79,SIBCoin,"$15,517,334",$1.00,"15,484,198 SIB","$156,351",2.23%
80,ZenCash,"$15,231,092",$6.96,"2,188,325 ZEN","$577,949",4.37%
81,PotCoin,"$14,722,522",$0.07,"218,038,116 POT","$158,127",-6.17%
82,Radium,"$14,261,301",$4.26,"3,351,177 RADS *","$139,192",-2.78%
83,Burst,"$14,199,244",$0.01,"1,800,339,818 BURST","$335,516",0.39%
84,LBRY Credits,"$14,115,161",$0.21,"68,524,524 LBC","$756,065",-7.42%
85,Shift,"$13,822,484",$1.23,"11,214,997 SHIFT *","$97,938",-1.05%
86,DigitalNote,"$13,657,846",$0.00,"6,885,695,758 XDN","$2,157,890",-4.97%
87,Neblio,"$13,553,362",$1.09,"12,399,127 NEBL *","$99,456",13.41%
88,Einsteinium,"$13,232,583",$0.06,"214,096,252 EMC2","$2,892,490",6.89%
89,Compcoin,"$12,984,520",$3.05,"4,264,028 CMP","$219,424",23.86%
90,Omni,"$12,799,006",$22.86,"559,786 OMNI *","$41,528",-0.84%
91,ATC Coin,"$12,751,674",$1.21,"10,525,960 ATCC *","$498,063",-0.70%
92,Energycoin,"$12,526,103",$0.10,"121,243,039 ENRG","$20,940",0.11%
93,Rubycoin,"$12,519,449",$0.50,"24,792,314 RBY *","$45,798",-7.88%
94,Gambit,"$12,437,419",$10.42,"1,193,530 GAM *","$114,899",0.29%
95,E-coin,"$12,348,031",$3.08,"4,008,919 ECN","$69,387",-1.89%
96,SaluS,"$12,276,886",$12.23,"1,004,195 SLS *","$51,408",-4.08%
97,Groestlcoin,"$12,211,006",$0.18,"68,438,903 GRS","$1,205,620",-4.53%
98,BlackCoin,"$12,208,321",$0.16,"76,386,509 BLK *","$324,479",-1.81%
99,Golos,"$11,820,678",$0.09,"124,518,891 GOLOS","$12,482",-5.69%
100,GridCoin,"$11,816,250",$0.03,"390,312,753 GRC","$276,327",-5.20%
